"","PC1","PC2","PC3","PC4"
"813_1975",0.0478148132053676,-0.00103083254676752,0.0438402607142664,-0.00418399074988826
"813_1976",0.0134506353481142,-0.00554578996064443,-0.0732095884414117,0.0286359297126242
"813_1977",0.0551976718018719,0.0409234400743412,0.0636300593102376,-0.0837966443367492
"813_1978",0.0564732805772823,0.060015741478293,0.0424400482376231,-0.0336590297398363
"813_1979",0.0570978847565027,0.0622341061886468,0.0635490975545843,0.0117752462222988
"814_1970",-0.00435141185437263,0.0252849605147993,0.111759558334848,0.0626696836815149
"814_1971",0.0327840437144504,0.00328993910408586,0.0834089375882238,-0.270707995810658
"814_1972",0.0509569860726624,0.122129565550949,0.0585836411754301,0.0886674658712003
"814_1973",0.0461920565057141,0.0385645740099134,0.0562673010984455,0.00509765102902889
"814_1974",0.01118260706825,-0.108761129982765,0.0739081692226942,-0.00877558287649692
"814_1975",0.0541225962740632,0.0967376775363324,0.108221678911324,-0.15697741193204
"814_1976",0.0526245269966473,0.124007872895092,0.0999672257063526,0.0641037126323442
"814_1977",0.0403828601031829,0.0485725808399582,0.099893535590979,0.190589018001825
